POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
49020001;20260101;0,0;1;;;-5,4;1;513;9;3,9;1;1356;9;-0,8;1;-0,75;1;-9,9;9;-7,6;9;684;9;9,3;1;-0,8;1;1017,0;1;1013,5;1;1,6;1;7,9;1;230;9;2303;9;4,8;1;240;9;2306;9;;;;;;;;;6,9;1;230;1;2300;9;67;1;1511;9;100;1;1054;9;0;9;918;9;4,9;9;;;86;1;333;9;515;9;;;;;67;9;;;;;;;;;;;1;9;;;;;;;;;1;9;;;;;;;1;9;;;0,4;9;0,4;9;;;;;;;;;0;9;0;9
49020001;20260102;0,4;1;28;9;0,8;1;1801;9;5,8;1;1147;9;2,4;1;3,30;1;0,1;9;0,7;9;69;9;5,0;1;3,3;1;1011,6;1;1009,6;1;2,7;1;9,0;1;250;1;121;9;4,9;1;240;1;129;9;;;;;;;;;8,1;1;230;1;25;9;74;1;17;9;100;1;2243;9;0;9;1320;9;6,6;9;;;91;1;251;9;498;9;;;;;50;9;;;;;;;;;0;9;1;9;;;;;;;;;1;9;;;0;9;0;9;1;9;;;0,5;9;0,5;9;;;;;;;;;0;9;0;9
49020001;20260103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
